run_id,label,goal_without_intention,step_without_intention,step_without_goal,intention_without_toolcall,missing_goal_intention_toolcall,missing_intention_toolcall_observation,missing_goal_intention_toolcall_observation,run_without_toolcall,run_without_toolcall_or_termination,null_observation_present,toolcall_without_observation,run_without_termination
aggregated_graph_1,completed_True,1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_10,completed_True,3.0,2,2,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_11,completed_True,2.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_12,completed_True,2.0,2,2,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_13,completed_True,0.0,1,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aggregated_graph_14,completed_False,5.0,5,5,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_15,completed_False,2.0,2,2,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_16,completed_False,0.0,3,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
aggregated_graph_17,completed_False,1.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_18,completed_False,2.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_2,agent_invalid_action_False,1.0,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_3,completed_False,1.0,2,2,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
aggregated_graph_4,agent_invalid_action_False,1.0,1,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_5,agent_invalid_action_False,1.0,1,1,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_6,agent_invalid_action_False,2.0,2,2,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
aggregated_graph_7,agent_invalid_action_False,1.0,4,4,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
aggregated_graph_8,agent_invalid_action_False,4.0,5,5,18.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
aggregated_graph_9,completed_True,2.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-001-stock-00000,completed_False,5.0,5,5,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-001-stock-00001,completed_False,1.0,2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
