run_id,label,Statement->Step,Intention->Step,Goal->Intention,Goal->Step,Intention->ToolCall,ToolCall->Step,ToolCall->Observation,Observation->Step,Goal->Intention->ToolCall,Intention->ToolCall->Observation,Run->Step->TerminationSignal,Goal->Intention->ToolCall->Observation
aggregated_graph_1,completed_True,25.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_10,completed_True,0.0,6.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_11,completed_True,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_12,completed_True,15.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_13,completed_True,28.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_14,completed_False,81.0,22.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0
aggregated_graph_15,completed_False,5.0,12.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_16,completed_False,19.0,17.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_17,completed_False,13.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_18,completed_False,7.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_2,agent_invalid_action_False,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_3,completed_False,7.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
aggregated_graph_4,agent_invalid_action_False,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_5,agent_invalid_action_False,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_6,agent_invalid_action_False,154.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_7,agent_invalid_action_False,39.0,6.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_8,agent_invalid_action_False,70.0,19.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0
aggregated_graph_9,completed_True,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-001-stock-00000,completed_False,83.0,22.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0
aggregated_graph_std-001-stock-00001,completed_False,12.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-001-stock-00002,completed_False,11.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-001-stock-00003,completed_False,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-001-stock-00004,completed_False,32.0,22.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0
aggregated_graph_std-001-stock-00005,completed_True,21.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
aggregated_graph_std-001-stock-00006,agent_invalid_action_False,190.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-002-environment-00000,completed_True,4.0,10.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-002-environment-00001,completed_True,20.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
aggregated_graph_std-002-environment-00002,completed_False,31.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
aggregated_graph_std-002-environment-00003,completed_True,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-002-environment-00004,completed_False,17.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_std-003-ac-00000,completed_True,71.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-003-ac-00001,completed_True,25.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-003-ac-00002,completed_True,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
