feature,label_a,label_b,cohen_d
avg_statements_per_step,completed_True,unknown_False,2.2727446100255615
density,completed_True,unknown_False,2.139612881137077
density,completed_False,unknown_False,1.3855714454107206
density,agent_invalid_action_False,unknown_False,1.3070288680841124
avg_statements_per_step,completed_False,unknown_False,1.18165983336984
avg_intentions_per_goal,completed_False,unknown_False,0.9585855236550673
avg_intentions_per_goal,completed_True,unknown_False,0.7213502948145452
avg_statements_per_step,completed_True,agent_invalid_action_False,0.6000083409180075
density,completed_False,agent_invalid_action_False,0.5863432268116523
avg_statements_per_step,completed_False,agent_invalid_action_False,0.5087239365109913
avg_intentions_per_goal,agent_invalid_action_False,unknown_False,0.48257301243311057
density,completed_True,completed_False,0.4520398803104221
avg_statements_per_step,completed_True,completed_False,0.4288125240233791
avg_intentions_per_goal,completed_False,agent_invalid_action_False,0.37627777200864904
avg_intentions_per_goal,completed_True,agent_invalid_action_False,0.37044589587442156
density,completed_True,agent_invalid_action_False,0.32426976338634844
avg_statements_per_step,agent_invalid_action_False,unknown_False,0.3025252949938458
avg_intentions_per_goal,completed_True,completed_False,0.083514969073399
density,completed_True,task_limit_reached_False,
density,completed_False,task_limit_reached_False,
density,agent_invalid_action_False,task_limit_reached_False,
density,task_limit_reached_False,unknown_False,
avg_statements_per_step,completed_True,task_limit_reached_False,
avg_statements_per_step,completed_False,task_limit_reached_False,
avg_statements_per_step,agent_invalid_action_False,task_limit_reached_False,
avg_statements_per_step,task_limit_reached_False,unknown_False,
avg_intentions_per_goal,completed_True,task_limit_reached_False,
avg_intentions_per_goal,completed_False,task_limit_reached_False,
avg_intentions_per_goal,agent_invalid_action_False,task_limit_reached_False,
avg_intentions_per_goal,task_limit_reached_False,unknown_False,
