feature,f_score,p_value
Observation->Step,100.40482123510283,9.754221588512643e-40
Run->Step->TerminationSignal,14.87797776449402,4.0324830637340584e-10
ToolCall->Step,9.520881942496542,8.02509398083003e-07
ToolCall->Observation,9.32812846231083,1.0695992831937704e-06
Intention->ToolCall,8.225415441926708,5.637628833227761e-06
Intention->ToolCall->Observation,5.487872052029196,0.00039651942030307177
Goal->Step,4.23841753776158,0.002889141744983274
Statement->Step,3.5900120747710886,0.008120471430930504
Goal->Intention->ToolCall,2.0466320597090326,0.0912561127386028
Intention->Step,1.8938397617981535,0.11498445678730669
Goal->Intention->ToolCall->Observation,1.6280320019221741,0.17066839264088943
Goal->Intention,0.4507157747715119,0.7717292517712998
