feature,label_a,label_b,cohen_d
ToolCall->Observation,agent_invalid_action_False,unknown_False,4.90494439643955
ToolCall->Observation,completed_True,unknown_False,3.340343505815249
Run->Step->TerminationSignal,completed_True,unknown_False,3.0224704523498054
Run->Step->TerminationSignal,completed_False,unknown_False,2.8287442221294485
Statement->Step,completed_True,unknown_False,2.613671481350608
Intention->Step,agent_invalid_action_False,unknown_False,2.310996594458695
ToolCall->Observation,completed_False,unknown_False,2.2322696978173897
Observation->Step,completed_True,agent_invalid_action_False,2.216102685145955
Observation->Step,completed_False,agent_invalid_action_False,2.216102685145955
ToolCall->Step,agent_invalid_action_False,unknown_False,2.204507842967241
ToolCall->Step,completed_True,unknown_False,1.914368912266626
Run->Step->TerminationSignal,completed_False,agent_invalid_action_False,1.8050877840499344
Run->Step->TerminationSignal,completed_True,agent_invalid_action_False,1.5785387579590966
Intention->Step,completed_False,unknown_False,1.1907467750998186
Statement->Step,completed_False,unknown_False,1.1534233048031022
ToolCall->Step,completed_False,unknown_False,1.1178908849149567
Intention->Step,completed_True,unknown_False,1.0161431103762661
Intention->ToolCall->Observation,completed_False,agent_invalid_action_False,0.9852417631420656
Intention->ToolCall,completed_False,agent_invalid_action_False,0.9650834113058198
Goal->Intention->ToolCall,completed_False,agent_invalid_action_False,0.9483754339184252
Goal->Intention->ToolCall,completed_False,unknown_False,0.9483754339184252
ToolCall->Observation,completed_False,agent_invalid_action_False,0.9034572885388059
Goal->Intention,completed_False,unknown_False,0.8535020951972357
Observation->Step,agent_invalid_action_False,unknown_False,0.8523471865945981
Goal->Intention->ToolCall->Observation,completed_False,agent_invalid_action_False,0.8507222209917082
Goal->Intention->ToolCall->Observation,completed_False,unknown_False,0.8507222209917082
Goal->Step,completed_False,unknown_False,0.7786592400504692
Statement->Step,agent_invalid_action_False,unknown_False,0.7670314082068962
Intention->ToolCall->Observation,agent_invalid_action_False,unknown_False,0.7444628154355333
ToolCall->Step,completed_False,agent_invalid_action_False,0.7362930851535365
Goal->Intention->ToolCall,completed_True,agent_invalid_action_False,0.7193999284166184
Goal->Intention->ToolCall,completed_True,unknown_False,0.7193999284166184
Intention->ToolCall,agent_invalid_action_False,unknown_False,0.6866765617639471
Goal->Intention->ToolCall->Observation,completed_True,unknown_False,0.6796128591663245
Goal->Intention->ToolCall->Observation,completed_True,agent_invalid_action_False,0.6796128591663245
Goal->Step,completed_False,agent_invalid_action_False,0.6674288123838479
Intention->ToolCall->Observation,completed_True,agent_invalid_action_False,0.6450061582245614
Goal->Step,completed_True,unknown_False,0.6334154442855895
Run->Step->TerminationSignal,agent_invalid_action_False,unknown_False,0.629940788348712
Statement->Step,completed_True,agent_invalid_action_False,0.6250883305909425
Intention->Step,completed_False,agent_invalid_action_False,0.6167620765073275
Intention->ToolCall,completed_True,agent_invalid_action_False,0.5738448069786314
ToolCall->Observation,completed_True,agent_invalid_action_False,0.5705246977665285
Goal->Step,completed_True,agent_invalid_action_False,0.5563122087426958
Statement->Step,completed_True,completed_False,0.55134693281075
Goal->Intention,completed_True,unknown_False,0.5209851497362187
Goal->Intention,agent_invalid_action_False,unknown_False,0.4825730124331106
Run->Step->TerminationSignal,completed_True,completed_False,0.4746793591832121
ToolCall->Step,completed_True,completed_False,0.45334656551765556
Intention->Step,completed_True,agent_invalid_action_False,0.4146010491505007
ToolCall->Observation,completed_True,completed_False,0.37770664062204123
Intention->ToolCall->Observation,completed_True,unknown_False,0.34480998365357074
ToolCall->Step,completed_True,agent_invalid_action_False,0.3423141230415973
Intention->ToolCall,completed_True,unknown_False,0.32868401928434143
Intention->ToolCall,completed_True,completed_False,0.3078168041623821
Goal->Intention,completed_True,agent_invalid_action_False,0.2661564180634218
Goal->Intention,completed_False,agent_invalid_action_False,0.2522023669197142
Intention->ToolCall->Observation,completed_True,completed_False,0.23416114283362427
Intention->ToolCall->Observation,completed_False,unknown_False,0.20231430665830086
Goal->Intention->ToolCall,completed_True,completed_False,0.1545551959479594
Statement->Step,completed_False,agent_invalid_action_False,0.15300099357445862
Intention->ToolCall,completed_False,unknown_False,0.13369629151350867
Goal->Intention,completed_True,completed_False,0.11643726487949183
Goal->Intention->ToolCall->Observation,completed_True,completed_False,0.10214716199371687
Goal->Step,agent_invalid_action_False,unknown_False,0.06240686072660833
Intention->Step,completed_True,completed_False,0.05660796275101337
Goal->Step,completed_True,completed_False,0.01471191461821953
Statement->Step,completed_True,task_limit_reached_False,
Statement->Step,completed_False,task_limit_reached_False,
Statement->Step,agent_invalid_action_False,task_limit_reached_False,
Statement->Step,task_limit_reached_False,unknown_False,
Intention->Step,completed_True,task_limit_reached_False,
Intention->Step,completed_False,task_limit_reached_False,
Intention->Step,agent_invalid_action_False,task_limit_reached_False,
Intention->Step,task_limit_reached_False,unknown_False,
Goal->Intention,completed_True,task_limit_reached_False,
Goal->Intention,completed_False,task_limit_reached_False,
Goal->Intention,agent_invalid_action_False,task_limit_reached_False,
Goal->Intention,task_limit_reached_False,unknown_False,
Goal->Step,completed_True,task_limit_reached_False,
Goal->Step,completed_False,task_limit_reached_False,
Goal->Step,agent_invalid_action_False,task_limit_reached_False,
Goal->Step,task_limit_reached_False,unknown_False,
Intention->ToolCall,completed_True,task_limit_reached_False,
Intention->ToolCall,completed_False,task_limit_reached_False,
Intention->ToolCall,agent_invalid_action_False,task_limit_reached_False,
Intention->ToolCall,task_limit_reached_False,unknown_False,
ToolCall->Step,completed_True,task_limit_reached_False,
ToolCall->Step,completed_False,task_limit_reached_False,
ToolCall->Step,agent_invalid_action_False,task_limit_reached_False,
ToolCall->Step,task_limit_reached_False,unknown_False,
ToolCall->Observation,completed_True,task_limit_reached_False,
ToolCall->Observation,completed_False,task_limit_reached_False,
ToolCall->Observation,agent_invalid_action_False,task_limit_reached_False,
ToolCall->Observation,task_limit_reached_False,unknown_False,
Observation->Step,completed_True,task_limit_reached_False,
Observation->Step,completed_False,task_limit_reached_False,
Observation->Step,agent_invalid_action_False,task_limit_reached_False,
Observation->Step,task_limit_reached_False,unknown_False,
Goal->Intention->ToolCall,completed_True,task_limit_reached_False,
Goal->Intention->ToolCall,completed_False,task_limit_reached_False,
Goal->Intention->ToolCall,agent_invalid_action_False,task_limit_reached_False,
Goal->Intention->ToolCall,task_limit_reached_False,unknown_False,
Intention->ToolCall->Observation,completed_True,task_limit_reached_False,
Intention->ToolCall->Observation,completed_False,task_limit_reached_False,
Intention->ToolCall->Observation,agent_invalid_action_False,task_limit_reached_False,
Intention->ToolCall->Observation,task_limit_reached_False,unknown_False,
Run->Step->TerminationSignal,completed_True,task_limit_reached_False,
Run->Step->TerminationSignal,completed_False,task_limit_reached_False,
Run->Step->TerminationSignal,agent_invalid_action_False,task_limit_reached_False,
Run->Step->TerminationSignal,task_limit_reached_False,unknown_False,
Goal->Intention->ToolCall->Observation,completed_True,task_limit_reached_False,
Goal->Intention->ToolCall->Observation,completed_False,task_limit_reached_False,
Goal->Intention->ToolCall->Observation,agent_invalid_action_False,task_limit_reached_False,
Goal->Intention->ToolCall->Observation,task_limit_reached_False,unknown_False,
